,Indicator,1. DOI ,2. Author-defined keywords (no own synopsis) ,5. To which energy sector (or research field) is justice applied?,6. To which country/region is the paper applied? ,7. At which scale is the paper subject discussed? ,8. What is the time-scale assessed in the paper?,9. Which energy-related examples are discussed in the paper?,12. Which justice definition is explicitly used in the paper?,17. Is a model applied in the paper?,19. Which groups of people are assessed with the model?,23. At which place of the model are justice indicators integrated?,25. Is a case study with a comparison of a techno-economic and a socially/just optimized energy system included?,Which justice dimension is addressed?
34,changes in consumption,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
35,changes in income level,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
36,tax incidence,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
37, cost distribution,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
38,price changes for goods,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
39,vulnerability,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
40,identification of vulnerable groups/regions,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
41,energy cost burden,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
42,investment needs,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
43,energy intensity,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
44,employment in carbon-intensive industries,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
45,per-household investment costs,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
46,economic poverty,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
47,social equity,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
48,income distribution,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
49,energy use,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
50,economic growth,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
51,emissions,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
52,cost for compensation,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
53,human health,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
54,exposure to environmental risks/hazards,10.1002/ente.202000668,"distributional impacts, energy policies, energy system modeling, environmental impacts, general equilibrium modeling, microsimulation, model coupling",(Skip question: Not applicable),,Global;Continent/Union;Country-level (including comparisons);State/Region;City/Municipality;Community;Households/Prosumers,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project);Far future (more then 10 years),"POLICY: Discussion of necessary policy design to reach an aim, or assessment of policy impacts",,"No, but relevat content",Income;Representative groups,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
55,regression coefficient between energy burden and premature mortality,10.3390/ijerph18020620,"energy burden, social capital, environmental quality, public health, social determinants of health",Electricity;Heating and Cooling;Buildings,USA,Country-level (including comparisons);City/Municipality,Present (eg. status quo assessment),Health impacts,,Yes,Income;Health;Race,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
56,regression coefficient between energy burden and self-reported health,10.3390/ijerph18020620,"energy burden, social capital, environmental quality, public health, social determinants of health",Electricity;Heating and Cooling;Buildings,USA,Country-level (including comparisons);City/Municipality,Present (eg. status quo assessment),Health impacts,,Yes,Income;Health;Race,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
57,regression coefficient between energy burden and life expectancy,10.3390/ijerph18020620,"energy burden, social capital, environmental quality, public health, social determinants of health",Electricity;Heating and Cooling;Buildings,USA,Country-level (including comparisons);City/Municipality,Present (eg. status quo assessment),Health impacts,,Yes,Income;Health;Race,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
58,distributional employment impacts,10.1016/j.enpol.2021.112158,"Energy transitions ,Just transitions, Electricity generation, India, Green jobs",Electricity,India,State/Region,Near future (up to 10 years or duration of a single project),SPATIALITY: Geospatial perspective;Employment calculation,Just Transition,Yes,Occupation,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,"Distributional-Justice, Restorative-Justice"
59,land acquisation and compensation,10.1016/j.enpol.2021.112158,"Energy transitions ,Just transitions, Electricity generation, India, Green jobs",Electricity,India,State/Region,Near future (up to 10 years or duration of a single project),SPATIALITY: Geospatial perspective;Employment calculation,Just Transition,Yes,Occupation,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,"Distributional-Justice, Restorative-Justice"
60,spatial distribution of job loss and gains ,10.1016/j.enpol.2021.112158,"Energy transitions ,Just transitions, Electricity generation, India, Green jobs",Electricity,India,State/Region,Near future (up to 10 years or duration of a single project),SPATIALITY: Geospatial perspective;Employment calculation,Just Transition,Yes,Occupation,"PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;DISCUSSION: Discussion of the results and their impact on justice aspects in textform.",No,Distributional-Justice
61,emotions (a measure of the difference between the level of resources),10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
62,trust (a measure of the extent to which the size of a production group of an agent matches the size of production groups of its neighbours),10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
63,"""senses and imagination and thought (a measure of both the size of the production group to which the agent belongs (the smaller",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
64,"the more there is to learn) and the diversity of that production group)""",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Distributional-Justice
65,"""control over one’s environment (a measure of the size of the production group to which the agent belongs; the smaller the group",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Procedual-Justice
66,"the higher the level of control)""",10.1016/j.erss.2020.101451,"Decentralised energy systems, Capability approach, Agent-based modelling, Exploratory modelling, Energy justice",Decentralization,,Households/Prosumers;Neighbourhoods,Present (eg. status quo assessment);Near future (up to 10 years or duration of a single project),Decentralization,Energy justice,Yes,Income;Average consumer;Neighbourhood,"SCENARIOS: A scenario is a quantitative description of a possible, alternative energy future. Compared to a reference or baseline, and is typically used to provide information on how to reach a certain goal.;PARAMETERIZATION: Definition of input parameters, inlcuding pre-processing steps for input data adjustment;SIMULATION/OPTIMIZATION: Integration into the simulation/optimization algorithm itself, eg. the objective function, boundaries, constraints.;RESULT PROCESSING: “Quantitative” analysis of results concerning justice aspects, e.g. calculation of energy burden of households groups or Gini coefficient",No,Procedual-Justice
